software01,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)1%=0.01,0.210526317,0,0.105263159,0.210526317,0.210526317,0.210526317,0.421052635,0.210526317,0.210526317,0.210526317,0.210526317,0.212992547
argouml(12)1%=0.01,0.097751712,0,0.293255132,0.488758546,0.488758546,0,0.391006849,0.293255132,0.488758546,0.391006849,0.488758546,0.596718051
jedit(7)1%=0.01,0.446677841,0,0.446677841,0.446677841,0.446677841,0.558347297,0.446677841,0.558347297,0.558347297,0.558347297,0.558347297,0.559597095
jgap(18)1%=0.01,0.090252708,0,0.090252708,0.090252708,0.090252708,0,0.090252708,0.090252708,0.090252708,0.090252708,0.090252708,0.092250923
jhotdraw(9)1%=0.01,0.415512473,0,0.138504156,0.277008312,0.277008312,0.138504156,0.277008312,0.277008312,0.277008312,0.277008312,0.277008312,0.315457415
jmeter_core(14)1%=0.01,0.120481932,0,0,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.121432913
JPMC(24)1%=0.01,0,0,0,0,0,0,0,0,0.078523756,0,0,0
Maze(27)1%=0.01,0,0,0,0,0,0,0,0,0,0,0,0
neuroph(24)1%=0.01,0.155279507,0,0.155279507,0.077639754,0.077639754,0.077639754,0.155279507,0.155279507,0.155279507,0.077639754,0.077639754,0.156924288
tomcat(28)1%=0.01,0.296359018,0,0.38103302,0.127011008,0.127011008,0.211685016,0.169348015,0.127011008,0.127011008,0.211685016,0.254022017,0.301659125
Xerces(6)1%=0.01,0,0,0,0,0,0.123380631,0,0,0,0,0,0
ant_main(10)10%=0.1,0.12,0,0.04,0.14,0.14,0.14,0.14,0.16,0.16,0.16,0.16,0.163599182
argouml(12)10%=0.1,0.165631471,0,0.144927536,0.227743272,0.227743272,0.144927536,0.207039337,0.207039337,0.227743272,0.227743272,0.248447205,0.236305049
jedit(7)10%=0.1,0.103359173,0,0.103359173,0.120585702,0.120585702,0.103359173,0.103359173,0.120585702,0.120585702,0.120585702,0.120585702,0.121002593
jgap(18)10%=0.1,0.302013423,0,0.302013423,0.23489933,0.23489933,0.335570475,0.201342284,0.167785237,0.167785237,0.201342284,0.201342284,0.255474454
jhotdraw(9)10%=0.1,0.283911672,0,0.252365931,0.252365931,0.252365931,0.252365931,0.22082019,0.22082019,0.22082019,0.252365931,0.283911672,0.349344979
jmeter_core(14)10%=0.1,0.300000001,0,0.300000001,0.250000002,0.250000002,0.250000002,0.250000002,0.250000002,0.200000003,0.250000002,0.300000001,0.258397935
JPMC(24)10%=0.1,0,0.051679588,0,0.310077519,0.310077519,0,0.051679588,0.051679588,0.103359175,0.051679588,0,0.053333334
Maze(27)10%=0.1,0.235988202,0.05899705,0.176991151,0.353982303,0.353982303,0.294985243,0.353982303,0.353982303,0.353982303,0.353982303,0.294985243,0.358208957
neuroph(24)10%=0.1,0.384615391,0,0.384615391,0.432692308,0.432692308,0.192307696,0.432692308,0.480769224,0.576923077,0.480769224,0.432692308,0.565552707
tomcat(28)10%=0.1,0.217785844,0.00907441,0.226860254,0.108892922,0.108892922,0.226860254,0.190562613,0.154264973,0.127041742,0.181488204,0.235934663,0.245167373
Xerces(6)10%=0.1,0.074005551,0,0.092506938,0.037002775,0.037002775,0.055504163,0.055504163,0.018501388,0.018501388,0.018501388,0.092506938,0.076923077
ant_main(10)11%=0.11,0.110091744,0,0.073394496,0.146788991,0.146788991,0.128440367,0.128440367,0.146788991,0.146788991,0.146788991,0.146788991,0.150121974
argouml(12)11%=0.11,0.152293928,0,0.152293928,0.209404151,0.209404151,0.152293928,0.190367409,0.190367409,0.209404151,0.209404151,0.228440891,0.237130718
jedit(7)11%=0.11,0.09448075,0,0.09448075,0.110227541,0.110227541,0.09448075,0.110227541,0.110227541,0.110227541,0.110227541,0.110227541,0.110610729
jgap(18)11%=0.11,0.31367629,0,0.282308657,0.250941029,0.250941029,0.345043914,0.188205773,0.156838145,0.156838145,0.188205773,0.188205773,0.239398086
jhotdraw(9)11%=0.11,0.261475886,0,0.261475886,0.23242301,0.23242301,0.23242301,0.203370134,0.203370134,0.203370134,0.261475886,0.261475886,0.363783347
jmeter_core(14)11%=0.11,0.328638498,0,0.328638498,0.234741786,0.234741786,0.281690142,0.234741786,0.234741786,0.18779343,0.281690142,0.281690142,0.242895314
JPMC(24)11%=0.11,0,0.0497884,0,0.298730396,0.298730396,0,0.0497884,0.0497884,0.0995768,0.0497884,0,0.051480052
Maze(27)11%=0.11,0.231280718,0.115640359,0.231280718,0.404741248,0.404741248,0.346921077,0.404741248,0.404741248,0.404741248,0.404741248,0.346921077,0.409956069
neuroph(24)11%=0.11,0.369003696,0,0.369003696,0.415129151,0.415129151,0.184501848,0.415129151,0.50738008,0.553505535,0.50738008,0.415129151,0.544689287
tomcat(28)11%=0.11,0.208646303,0.016691704,0.208646303,0.11684193,0.11684193,0.208646303,0.175262894,0.150225338,0.133533634,0.191954599,0.216992154,0.225586742
Xerces(6)11%=0.11,0.067618967,0,0.084523709,0.033809484,0.033809484,0.067618967,0.050714225,0.016904742,0.033809484,0.016904742,0.084523709,0.087873462
ant_main(10)12%=0.12,0.118644068,0,0.101694916,0.135593221,0.135593221,0.118644068,0.118644068,0.135593221,0.135593221,0.135593221,0.135593221,0.138696255
argouml(12)12%=0.12,0.140944327,0,0.140944327,0.19379845,0.19379845,0.140944327,0.176180408,0.19379845,0.19379845,0.19379845,0.21141649,0.219538968
jedit(7)12%=0.12,0.087006961,0,0.087006961,0.101508121,0.101508121,0.087006961,0.101508121,0.101508121,0.101508121,0.101508121,0.101508121,0.101862631
jgap(18)12%=0.12,0.323910482,0,0.294464079,0.265017668,0.265017668,0.323910482,0.176678447,0.14723204,0.14723204,0.176678447,0.176678447,0.257400258
jhotdraw(9)12%=0.12,0.242326333,0,0.242326333,0.215401185,0.215401185,0.215401185,0.188476037,0.188476037,0.188476037,0.242326333,0.242326333,0.338600451
jmeter_core(14)12%=0.12,0.398230087,0,0.309734513,0.22123894,0.22123894,0.265486726,0.22123894,0.22123894,0.22123894,0.265486726,0.309734513,0.229147573
JPMC(24)12%=0.12,0,0.04803074,0,0.336215171,0.336215171,0.04803074,0.04803074,0.04803074,0.096061481,0.04803074,0,0.049751245
Maze(27)12%=0.12,0.283446705,0.170068028,0.226757371,0.453514742,0.453514742,0.39682539,0.453514742,0.453514742,0.453514742,0.453514742,0.39682539,0.402298844
neuroph(24)12%=0.12,0.354609935,0,0.443262406,0.39893617,0.39893617,0.265957447,0.443262406,0.531914894,0.531914894,0.531914894,0.443262406,0.525310417
tomcat(28)12%=0.12,0.193139678,0.023176761,0.193139678,0.10815822,0.10815822,0.193139678,0.16223733,0.139060568,0.123609395,0.193139678,0.200865265,0.208902458
Xerces(6)12%=0.12,0.093370682,0,0.077808901,0.031123561,0.031123561,0.077808901,0.046685341,0.031123561,0.031123561,0.062247121,0.077808901,0.080906149
ant_main(10)13%=0.13,0.11023622,0,0.094488189,0.125984252,0.125984252,0.11023622,0.11023622,0.125984252,0.125984252,0.125984252,0.125984252,0.128886741
argouml(12)13%=0.13,0.131169044,0,0.131169044,0.180357436,0.180357436,0.131169044,0.180357436,0.180357436,0.196753566,0.180357436,0.196753566,0.204377076
jedit(7)13%=0.13,0.094067056,0,0.080628906,0.094067056,0.094067056,0.080628906,0.094067056,0.094067056,0.094067056,0.094067056,0.094067056,0.094396871
jgap(18)13%=0.13,0.332963377,0,0.305216425,0.249722531,0.249722531,0.332963377,0.166481688,0.138734741,0.166481688,0.166481688,0.166481688,0.273390036
jhotdraw(9)13%=0.13,0.225790266,0,0.225790266,0.225790266,0.225790266,0.200702459,0.200702459,0.175614652,0.175614652,0.225790266,0.225790266,0.316678395
jmeter_core(14)13%=0.13,0.376569036,0.041841005,0.292887029,0.251046026,0.251046026,0.251046026,0.209205022,0.209205022,0.209205022,0.251046026,0.334728038,0.216872697
JPMC(24)13%=0.13,0,0.092785898,0,0.371143592,0.371143592,0.046392949,0.046392949,0.046392949,0.092785898,0.046392949,0,0.048134778
Maze(27)13%=0.13,0.278009445,0.166805672,0.222407563,0.444815126,0.444815126,0.389213227,0.444815126,0.444815126,0.444815126,0.444815126,0.389213227,0.451339918
neuroph(24)13%=0.13,0.426621155,0.042662117,0.511945392,0.383959044,0.383959044,0.255972696,0.426621155,0.511945392,0.554607519,0.511945392,0.426621155,0.553377911
tomcat(28)13%=0.13,0.179778513,0.021573422,0.179778513,0.107867107,0.107867107,0.186969653,0.151013951,0.136631669,0.115058249,0.179778513,0.186969653,0.194516141
Xerces(6)13%=0.13,0.086498955,0,0.086498955,0.028832985,0.028832985,0.086498955,0.043249477,0.043249477,0.028832985,0.05766597,0.072082462,0.074962519
ant_main(10)14%=0.14,0.102941176,0,0.088235294,0.117647059,0.117647059,0.102941176,0.117647059,0.117647059,0.117647059,0.117647059,0.132352941,0.120373157
argouml(12)14%=0.14,0.122661761,0,0.122661761,0.168659921,0.168659921,0.122661761,0.168659921,0.18399264,0.18399264,0.168659921,0.18399264,0.191174128
jedit(7)14%=0.14,0.087642419,0,0.075122073,0.087642419,0.087642419,0.075122073,0.087642419,0.087642419,0.087642419,0.087642419,0.087642419,0.087950748
jgap(18)14%=0.14,0.367261282,0,0.314795385,0.236096537,0.236096537,0.34102833,0.157397693,0.157397693,0.157397693,0.157397693,0.157397693,0.258918297
jhotdraw(9)14%=0.14,0.211366839,0,0.211366839,0.211366839,0.211366839,0.187881635,0.211366839,0.187881635,0.164396431,0.211366839,0.211366839,0.29742234
jmeter_core(14)14%=0.14,0.357142856,0.03968254,0.277777778,0.277777778,0.277777778,0.238095239,0.1984127,0.1984127,0.1984127,0.238095239,0.317460321,0.205846029
JPMC(24)14%=0.14,0.044863168,0.089726336,0,0.403768506,0.403768506,0.044863168,0.089726336,0.044863168,0.089726336,0.044863168,0,0.046620047
Maze(27)14%=0.14,0.327332244,0.218221496,0.272776862,0.436442992,0.436442992,0.436442992,0.490998374,0.490998374,0.436442992,0.490998374,0.436442992,0.49861497
neuroph(24)14%=0.14,0.452302636,0.041118422,0.493421053,0.370065789,0.370065789,0.246710526,0.452302636,0.534539483,0.534539483,0.493421053,0.452302636,0.534997771
tomcat(28)14%=0.14,0.168146354,0.020177563,0.168146354,0.100887812,0.100887812,0.181598063,0.147968792,0.134517084,0.114339521,0.168146354,0.174872208,0.181983621
Xerces(6)14%=0.14,0.080569357,0,0.080569357,0.026856452,0.026856452,0.080569357,0.053712905,0.053712905,0.026856452,0.067141131,0.067141131,0.069832402
ant_main(10)15%=0.15,0.096551724,0,0.082758621,0.110344828,0.110344828,0.096551724,0.110344828,0.110344828,0.110344828,0.110344828,0.124137931,0.127028934
argouml(12)15%=0.15,0.115190785,0.028797696,0.115190785,0.158387329,0.158387329,0.115190785,0.158387329,0.172786177,0.172786177,0.172786177,0.172786177,0.179573513
jedit(7)15%=0.15,0.082039262,0,0.070319367,0.082039262,0.082039262,0.070319367,0.082039262,0.082039262,0.082039262,0.082039262,0.082039262,0.082328727
jgap(18)15%=0.15,0.373134326,0,0.348258708,0.248756222,0.248756222,0.348258708,0.174129354,0.149253732,0.149253732,0.174129354,0.174129354,0.273224047
jhotdraw(9)15%=0.15,0.198675497,0,0.198675497,0.198675497,0.198675497,0.198675497,0.198675497,0.198675497,0.154525387,0.198675497,0.198675497,0.280373832
jmeter_core(14)15%=0.15,0.33962264,0.03773585,0.301886796,0.301886796,0.301886796,0.226415095,0.188679246,0.188679246,0.188679246,0.226415095,0.301886796,0.27424094
JPMC(24)15%=0.15,0.086862108,0.086862108,0,0.390879479,0.390879479,0.043431054,0.086862108,0.043431054,0.13029316,0.043431054,0,0.045197741
Maze(27)15%=0.15,0.374832658,0.267737611,0.321285142,0.481927721,0.481927721,0.481927721,0.535475222,0.481927721,0.42838019,0.481927721,0.481927721,0.489795929
neuroph(24)15%=0.15,0.436507941,0.03968254,0.476190476,0.357142857,0.357142857,0.238095238,0.476190476,0.515873025,0.515873025,0.476190476,0.476190476,0.560949309
tomcat(28)15%=0.15,0.157927985,0.025268478,0.170562224,0.094756791,0.094756791,0.170562224,0.138976626,0.132659507,0.10739103,0.164245104,0.164245104,0.170968272
Xerces(6)15%=0.15,0.075400566,0,0.075400566,0.025133522,0.025133522,0.075400566,0.050267044,0.050267044,0.037700283,0.062833805,0.062833805,0.065359477
ant_main(10)2%=0.02,0.142857144,0,0.142857144,0.142857144,0.142857144,0.142857144,0.357142857,0.357142857,0.285714287,0.357142857,0.428571435,0.362844702
argouml(12)2%=0.02,0.276625176,0,0.20746888,0.484094046,0.484094046,0,0.345781463,0.414937759,0.414937759,0.553250353,0.484094046,0.566973785
jedit(7)2%=0.02,0.416377517,0,0.346981265,0.346981265,0.346981265,0.346981265,0.346981265,0.346981265,0.416377517,0.416377517,0.416377517,0.417536535
jgap(18)2%=0.02,0.22796353,0,0.075987842,0.151975685,0.151975685,0,0.075987842,0.151975685,0.151975685,0.151975685,0.151975685,0.157728707
jhotdraw(9)2%=0.02,0.402414488,0,0.201207244,0.402414488,0.402414488,0.603621739,0.402414488,0.201207244,0.301810869,0.301810869,0.402414488,0.244498779
jmeter_core(14)2%=0.02,0.10416667,0,0.10416667,0.10416667,0.10416667,0.10416667,0.10416667,0.10416667,0.20833334,0.10416667,0.10416667,0.105596624
JPMC(24)2%=0.02,0,0,0,0,0,0,0,0,0.074239052,0,0,0
Maze(27)2%=0.02,0.070472164,0,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070472164,0.070671379
neuroph(24)2%=0.02,0.218023256,0,0.145348841,0.145348841,0.145348841,0.145348841,0.290697682,0.218023256,0.218023256,0.145348841,0.218023256,0.222386953
tomcat(28)2%=0.02,0.330926591,0,0.270758121,0.150421181,0.150421181,0.300842362,0.180505416,0.180505416,0.150421181,0.210589651,0.240673891,0.246837401
Xerces(6)2%=0.02,0.075700228,0,0.151400455,0.075700228,0.075700228,0.075700228,0.075700228,0.075700228,0,0,0,0.078125001
ant_main(10)3%=0.03,0.162162164,0,0.108108109,0.108108109,0.108108109,0.108108109,0.27027027,0.27027027,0.27027027,0.324324328,0.378378377,0.385250411
argouml(12)3%=0.03,0.321027287,0,0.321027287,0.374531831,0.374531831,0,0.428036387,0.374531831,0.481540931,0.481540931,0.481540931,0.495458299
jedit(7)3%=0.03,0.302038762,0,0.302038762,0.302038762,0.302038762,0.251698969,0.251698969,0.302038762,0.302038762,0.302038762,0.302038762,0.3029538
