software01,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)1%=0.01,0.210526317,0,0.210526317,0.210526317,0.210526317,0.210526317,0.526315789,0.210526317,0.210526317,0.210526317,0.210526317,0.212992547
argouml(12)1%=0.01,0.195503425,0,0.293255132,0.391006849,0.391006849,0.097751712,0.488758546,0.391006849,0.391006849,0.488758546,0.488758546,0.596718051
jedit(7)1%=0.01,0.446677841,0,0.446677841,0.446677841,0.446677841,0.558347297,0.446677841,0.558347297,0.558347297,0.558347297,0.558347297,0.559597095
jgap(18)1%=0.01,0.090252708,0,0.090252708,0.090252708,0.090252708,0,0,0,0.090252708,0,0,0.092250923
jhotdraw(9)1%=0.01,0.415512473,0,0.138504156,0.415512473,0.415512473,0.554016623,0.277008312,0.277008312,0.138504156,0.277008312,0.277008312,0.315457415
jmeter_core(14)1%=0.01,0.120481932,0,0,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.121432913
JPMC(24)1%=0.01,0,0,0,0,0,0,0,0,0,0,0,0
Maze(27)1%=0.01,0,0,0,0,0,0,0,0,0,0,0,0
neuroph(24)1%=0.01,0.155279507,0,0.155279507,0.077639754,0.077639754,0.077639754,0.155279507,0.155279507,0.155279507,0.077639754,0.077639754,0.156924288
tomcat(28)1%=0.01,0.296359018,0,0.296359018,0.084674007,0.084674007,0.296359018,0.127011008,0.084674007,0.127011008,0.127011008,0.211685016,0.258564966
Xerces(6)1%=0.01,0,0,0,0,0,0.123380631,0,0,0,0,0,0
ant_main(10)10%=0.1,0.12,0,0.08,0.12,0.12,0.14,0.14,0.16,0.16,0.16,0.16,0.163599182
argouml(12)10%=0.1,0.165631471,0,0.186335404,0.248447205,0.248447205,0.186335404,0.227743272,0.248447205,0.248447205,0.248447205,0.248447205,0.257787325
jedit(7)10%=0.1,0.103359173,0,0.103359173,0.120585702,0.120585702,0.103359173,0.120585702,0.120585702,0.120585702,0.120585702,0.120585702,0.121002593
jgap(18)10%=0.1,0.302013423,0,0.302013423,0.335570475,0.335570475,0.268456376,0.201342284,0.201342284,0.167785237,0.167785237,0.23489933,0.255474454
jhotdraw(9)10%=0.1,0.283911672,0,0.252365931,0.283911672,0.283911672,0.283911672,0.22082019,0.22082019,0.22082019,0.252365931,0.283911672,0.3930131
jmeter_core(14)10%=0.1,0.300000001,0,0.300000001,0.300000001,0.300000001,0.35,0.300000001,0.250000002,0.250000002,0.300000001,0.400000006,0.258397935
JPMC(24)10%=0.1,0,0.051679588,0,0.258397929,0.258397929,0.051679588,0.103359175,0.051679588,0.103359175,0.051679588,0,0.053333334
Maze(27)10%=0.1,0.235988202,0.117994101,0.176991151,0.294985243,0.294985243,0.294985243,0.353982303,0.353982303,0.294985243,0.353982303,0.294985243,0.358208957
neuroph(24)10%=0.1,0.432692308,0,0.336538455,0.432692308,0.432692308,0.288461538,0.52884616,0.52884616,0.576923077,0.52884616,0.432692308,0.565552707
tomcat(28)10%=0.1,0.217785844,0,0.199637023,0.127041742,0.127041742,0.235934663,0.172413792,0.154264973,0.117967332,0.190562613,0.208711435,0.216878832
Xerces(6)10%=0.1,0.092506938,0,0.092506938,0.055504163,0.055504163,0.092506938,0.055504163,0.055504163,0.037002775,0.055504163,0.074005551,0.076923077
ant_main(10)11%=0.11,0.110091744,0,0.073394496,0.146788991,0.146788991,0.128440367,0.128440367,0.146788991,0.146788991,0.146788991,0.146788991,0.150121974
argouml(12)11%=0.11,0.171330668,0,0.190367409,0.228440891,0.228440891,0.171330668,0.209404151,0.228440891,0.228440891,0.228440891,0.228440891,0.237130718
jedit(7)11%=0.11,0.09448075,0,0.09448075,0.110227541,0.110227541,0.09448075,0.110227541,0.110227541,0.110227541,0.110227541,0.110227541,0.110610729
jgap(18)11%=0.11,0.31367629,0,0.31367629,0.31367629,0.31367629,0.282308657,0.188205773,0.188205773,0.156838145,0.188205773,0.219573401,0.239398086
jhotdraw(9)11%=0.11,0.261475886,0,0.261475886,0.261475886,0.261475886,0.261475886,0.203370134,0.203370134,0.203370134,0.261475886,0.261475886,0.363783347
jmeter_core(14)11%=0.11,0.328638498,0.046948357,0.328638498,0.281690142,0.281690142,0.328638498,0.281690142,0.281690142,0.234741786,0.281690142,0.37558686,0.291474376
JPMC(24)11%=0.11,0,0.0497884,0,0.248941993,0.248941993,0.0497884,0.0995768,0.0497884,0.0995768,0.0497884,0,0.051480052
Maze(27)11%=0.11,0.231280718,0.173460539,0.231280718,0.346921077,0.346921077,0.346921077,0.404741248,0.404741248,0.346921077,0.404741248,0.346921077,0.409956069
neuroph(24)11%=0.11,0.461254606,0,0.369003696,0.461254606,0.461254606,0.322878223,0.50738008,0.553505535,0.599631008,0.553505535,0.415129151,0.594206487
tomcat(28)11%=0.11,0.200300451,0.008345852,0.208646303,0.11684193,0.11684193,0.216992154,0.158571189,0.150225338,0.108496077,0.175262894,0.216992154,0.208233916
Xerces(6)11%=0.11,0.084523709,0,0.084523709,0.067618967,0.067618967,0.084523709,0.050714225,0.050714225,0.033809484,0.067618967,0.067618967,0.087873462
ant_main(10)12%=0.12,0.118644068,0,0.101694916,0.135593221,0.135593221,0.118644068,0.118644068,0.135593221,0.135593221,0.135593221,0.135593221,0.138696255
argouml(12)12%=0.12,0.176180408,0,0.176180408,0.21141649,0.21141649,0.158562368,0.21141649,0.21141649,0.21141649,0.21141649,0.21141649,0.219538968
jedit(7)12%=0.12,0.087006961,0,0.087006961,0.101508121,0.101508121,0.087006961,0.101508121,0.101508121,0.101508121,0.101508121,0.101508121,0.101862631
jgap(18)12%=0.12,0.323910482,0,0.294464079,0.294464079,0.294464079,0.323910482,0.206124854,0.176678447,0.176678447,0.176678447,0.206124854,0.225225226
jhotdraw(9)12%=0.12,0.242326333,0,0.242326333,0.242326333,0.242326333,0.242326333,0.215401185,0.188476037,0.188476037,0.242326333,0.242326333,0.338600451
jmeter_core(14)12%=0.12,0.309734513,0.044247788,0.309734513,0.265486726,0.265486726,0.309734513,0.265486726,0.265486726,0.22123894,0.309734513,0.353982306,0.320806599
JPMC(24)12%=0.12,0,0.04803074,0,0.288184438,0.288184438,0.04803074,0.096061481,0.04803074,0.096061481,0.04803074,0,0.049751245
Maze(27)12%=0.12,0.283446705,0.226757371,0.226757371,0.39682539,0.39682539,0.39682539,0.39682539,0.453514742,0.39682539,0.453514742,0.39682539,0.402298844
neuroph(24)12%=0.12,0.443262406,0,0.39893617,0.443262406,0.443262406,0.310283682,0.531914894,0.576241146,0.620567365,0.531914894,0.487588658,0.620821408
